beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,7071.219247,50009198.830341,0.463621,-1.459756,0.000145,-0.055637,0.108033,0.086362,0.000077,1.917429,0.003413,957.003771,3.409152,0.000000,0.000000,6.111153,0.071695,37731.314155,729.950149,23.874631,0.042496,-165.368747,0.297515,-2056.916986,20.488272
6.250000,3534.846480,12498679.713670,0.198380,-1.459279,0.000124,0.020276,0.094186,0.086388,0.000064,1.926685,0.002875,982.103589,3.008294,0.000000,0.000000,3.178066,0.013256,10002.669680,107.872455,11.995138,0.017902,-168.912103,0.271800,-1048.119573,8.634011
4.166667,2353.448494,5541088.769552,0.281854,-1.456358,0.000264,0.060264,0.028829,0.086336,0.000062,1.932366,0.002863,1003.539930,3.214230,0.000000,0.000000,2.153109,0.022752,4530.217715,116.595789,8.020469,0.011886,-172.110267,0.301038,-700.254933,12.065491
3.125000,1756.920931,3088579.336253,0.284821,-1.446151,0.000356,0.199908,0.040035,0.086094,0.000135,1.930171,0.006031,1017.880245,6.367038,0.000000,0.000001,1.576790,0.017549,2381.808056,62.429417,6.008620,0.018774,-174.782470,0.564289,-502.438114,8.146632
2.500000,1388.458131,1929317.350787,0.322469,-1.419466,0.000504,0.440653,0.030780,0.086374,0.000088,1.951063,0.003897,1056.173067,4.257388,-0.000000,0.000000,1.133253,0.006430,1204.287612,17.401198,4.859006,0.009705,-179.443378,0.387070,-353.214177,3.576751
2.083333,1137.033206,1294099.592438,0.198511,-1.381937,0.000372,0.460970,0.021580,0.088179,0.000171,2.040405,0.007648,1169.208427,8.393827,0.000000,0.000000,0.813053,0.006101,597.588443,8.330483,4.234644,0.015871,-190.006822,0.666928,-243.988549,1.930559
1.785714,958.585574,919952.639300,0.175220,-1.346906,0.000383,0.420783,0.023029,0.090866,0.000117,2.171299,0.005506,1333.908080,6.901131,-0.000000,0.000000,0.628061,0.004071,342.158201,5.615666,3.862575,0.009794,-203.777512,0.559469,-180.585325,1.980717
1.562500,825.578201,682508.241549,0.165520,-1.313946,0.000414,0.403398,0.017370,0.093081,0.000128,2.282921,0.006282,1484.596479,8.388625,-0.000000,0.000000,0.514869,0.002849,223.827457,3.027347,3.553527,0.009779,-215.766863,0.646255,-143.903357,1.251902
1.388889,722.662299,523059.022511,0.197574,-1.282488,0.000556,0.373136,0.008086,0.094509,0.000093,2.359073,0.004861,1597.931721,7.041299,-0.000000,0.000001,0.442282,0.002689,161.113118,2.343493,3.264084,0.006727,-224.784235,0.539678,-120.419770,1.060091
1.250000,640.934330,411526.730330,0.164538,-1.252920,0.000514,0.347475,0.009323,0.095209,0.000125,2.400001,0.005907,1667.405580,7.725604,0.000000,0.000000,0.392038,0.002078,124.326686,1.380667,2.988671,0.007354,-230.582853,0.559001,-104.707086,0.707073
1.136364,574.658834,330891.200412,0.146077,-1.225390,0.000502,0.327128,0.008920,0.095366,0.000176,2.414795,0.008588,1703.549786,11.579253,0.000000,0.000000,0.355959,0.000997,101.311652,0.565325,2.733750,0.009721,-234.151828,0.776652,-93.871580,0.328681
1.041667,520.080511,271081.642513,0.122107,-1.200302,0.000458,0.303942,0.010247,0.094970,0.000106,2.401950,0.005195,1701.892498,7.404979,-0.000000,0.000000,0.331623,0.001357,87.264602,0.644366,2.492637,0.005391,-235.180961,0.541974,-86.713690,0.374198
0.961538,474.490064,225686.347752,0.165299,-1.177616,0.000672,0.277381,0.011275,0.094051,0.000126,2.364003,0.006249,1667.071541,8.450960,-0.000000,0.000000,0.313700,0.001195,77.265826,0.630968,2.264574,0.005986,-234.061896,0.580306,-81.100495,0.415322
0.892857,435.605726,190252.725606,0.101436,-1.155775,0.000444,0.252973,0.007873,0.093050,0.000099,2.321796,0.004586,1624.844547,6.052982,-0.000000,0.000000,0.298133,0.001633,69.380101,0.783545,2.065302,0.004079,-232.273280,0.432353,-76.569868,0.525705
0.833333,402.419693,162403.658971,0.086304,-1.136342,0.000405,0.232900,0.008318,0.091643,0.000128,2.260520,0.006041,1557.837034,7.839064,0.000000,0.000001,0.289810,0.001933,65.387140,0.880088,1.876768,0.005015,-228.715291,0.573257,-74.203776,0.535165
0.781250,373.640399,140035.130303,0.090770,-1.118202,0.000454,0.212242,0.007110,0.090169,0.000131,2.197003,0.005867,1489.123426,7.240947,0.000000,0.000000,0.282356,0.001935,61.797674,0.935792,1.710057,0.004565,-224.931272,0.518029,-71.950864,0.645345
0.735294,348.657558,121961.741868,0.109993,-1.102243,0.000584,0.199139,0.006716,0.088659,0.000140,2.132994,0.006326,1420.783437,7.644650,-0.000000,0.000000,0.275848,0.001685,58.902002,0.665465,1.562598,0.004633,-221.031180,0.551748,-70.175333,0.469124
0.694444,326.551328,107008.148668,0.073489,-1.086851,0.000413,0.178993,0.005278,0.087069,0.000147,2.065225,0.006320,1347.235632,7.313031,-0.000000,0.000001,0.270844,0.001606,56.567781,0.641785,1.428919,0.004371,-216.446272,0.539678,-68.617099,0.404470
0.657895,307.062148,94638.241050,0.050508,-1.073182,0.000300,0.171928,0.006820,0.085487,0.000107,2.001045,0.005013,1282.998831,6.395366,-0.000000,0.000000,0.267170,0.001801,55.127256,0.786076,1.311669,0.003286,-212.720157,0.535589,-67.776047,0.562424
0.625000,289.629820,84214.069402,0.091362,-1.060186,0.000571,0.152338,0.007760,0.083844,0.000091,1.933123,0.003735,1211.395981,4.580981,-0.000000,0.000001,0.263750,0.001332,53.592938,0.624792,1.203808,0.002325,-207.883442,0.440674,-66.730009,0.481309
0.595238,274.049610,75414.072420,0.065671,-1.048451,0.000431,0.143866,0.004549,0.082075,0.000116,1.861917,0.005085,1139.571260,6.291121,0.000000,0.000000,0.261273,0.001752,52.443422,0.859014,1.104274,0.003016,-203.012532,0.597843,-65.903640,0.683566
0.568182,259.961393,67874.417757,0.037156,-1.037235,0.000255,0.134879,0.006555,0.080449,0.000120,1.798090,0.005317,1076.932063,6.162470,-0.000000,0.000001,0.259791,0.001418,51.817967,0.695472,1.017965,0.003010,-198.642136,0.572568,-65.484048,0.563113
0.543478,247.275356,61424.472860,0.052993,-1.027292,0.000381,0.125363,0.004820,0.078807,0.000088,1.734060,0.003889,1014.590907,4.607281,0.000000,0.000001,0.258727,0.001094,51.308323,0.517822,0.939049,0.002106,-194.030915,0.477106,-65.102360,0.462426
0.520833,235.718831,55828.609685,0.074675,-1.017891,0.000560,0.115305,0.003934,0.077282,0.000108,1.676727,0.004670,961.818873,5.789206,0.000000,0.000001,0.257103,0.000593,50.562024,0.378163,0.870184,0.002424,-190.207978,0.631683,-64.553141,0.395349
0.500000,225.071283,50909.159913,0.055588,-1.008369,0.000434,0.105481,0.004295,0.075691,0.000121,1.617096,0.004788,906.191413,5.087778,0.000000,0.000000,0.256394,0.001162,50.440633,0.398844,0.805684,0.002385,-185.792549,0.516050,-64.576321,0.295193
0.480769,215.420270,46646.823384,0.029633,-1.000290,0.000241,0.099647,0.003792,0.074130,0.000077,1.560059,0.002677,855.416359,2.439467,-0.000000,0.000001,0.254808,0.001648,49.864242,0.670668,0.747386,0.001282,-181.774108,0.290515,-64.228349,0.492357
0.462963,206.514271,42879.008103,0.055380,-0.992464,0.000467,0.095104,0.002876,0.072693,0.000140,1.508485,0.005749,809.951838,6.398068,-0.000000,0.000001,0.254805,0.000604,49.558694,0.335983,0.695926,0.002652,-177.974224,0.761009,-63.831503,0.299083
0.446429,198.336729,39558.387593,0.051418,-0.985446,0.000450,0.088243,0.003381,0.071269,0.000104,1.458384,0.004025,767.317174,4.137860,0.000000,0.000000,0.254242,0.001539,49.409757,0.552162,0.648797,0.001790,-174.379584,0.508427,-63.778602,0.353807
0.431034,190.690158,36574.476324,0.055678,-0.978130,0.000505,0.082214,0.005056,0.069880,0.000134,1.411101,0.004985,728.706408,4.992712,-0.000000,0.000001,0.252874,0.001166,48.749044,0.411724,0.606128,0.002141,-171.134792,0.618703,-63.259321,0.338113
0.416667,183.653438,33932.904810,0.042266,-0.971751,0.000396,0.080720,0.003271,0.068498,0.000062,1.364399,0.002018,690.290352,1.856546,-0.000000,0.000001,0.253276,0.001662,48.882376,0.626293,0.566545,0.000837,-167.643106,0.267220,-63.331330,0.473958
0.403226,177.082345,31554.492895,0.034059,-0.965485,0.000330,0.075205,0.002946,0.067204,0.000078,1.321506,0.002763,655.950765,2.998251,0.000000,0.000001,0.253646,0.001138,49.155983,0.531113,0.531044,0.001110,-164.454575,0.453411,-63.598126,0.500770
0.390625,170.967875,29418.804473,0.038472,-0.959679,0.000385,0.069613,0.003008,0.065921,0.000088,1.279943,0.003267,623.589800,3.573701,-0.000000,0.000001,0.252999,0.001181,48.922628,0.420348,0.498280,0.001272,-161.399161,0.542169,-63.456000,0.313823
0.378788,165.242174,27487.390006,0.030164,-0.954060,0.000311,0.067074,0.003656,0.064681,0.000059,1.240478,0.002218,594.009425,2.295925,-0.000000,0.000001,0.252177,0.001307,48.607015,0.438310,0.468293,0.000837,-158.617892,0.364307,-63.248795,0.291276
0.367647,159.892175,25742.106075,0.034146,-0.948854,0.000363,0.065254,0.003394,0.063439,0.000104,1.201638,0.003370,565.305088,2.746645,0.000000,0.000001,0.252238,0.000912,48.610049,0.316724,0.440299,0.001234,-155.814407,0.396813,-63.237720,0.236312
0.357143,154.889918,24161.404098,0.042325,-0.944108,0.000463,0.061038,0.002215,0.062328,0.000078,1.168137,0.002427,540.963972,2.225233,0.000000,0.000001,0.252366,0.001826,48.505309,0.806017,0.415804,0.000864,-153.365987,0.337477,-63.063243,0.624249
0.347222,150.170696,22716.354074,0.034102,-0.939420,0.000384,0.058376,0.002102,0.061205,0.000167,1.133997,0.004777,516.035285,3.537399,-0.000001,0.000001,0.252065,0.001667,48.314979,0.657162,0.392448,0.001652,-150.684786,0.465980,-62.889448,0.473641
0.337838,145.710146,21391.425968,0.027508,-0.934774,0.000318,0.055736,0.003028,0.060122,0.000133,1.102194,0.003877,494.029937,3.145814,0.000001,0.000000,0.251732,0.001398,48.278529,0.596012,0.371142,0.001304,-148.406743,0.481001,-62.926404,0.469718
0.328947,141.497088,20176.429200,0.028785,-0.930278,0.000342,0.052755,0.001541,0.059019,0.000094,1.070405,0.003047,472.322131,2.692819,0.000000,0.000001,0.251703,0.000994,48.245852,0.362332,0.350961,0.000999,-146.084084,0.452347,-62.892264,0.380702
0.320513,137.533363,19066.041105,0.024608,-0.926188,0.000300,0.051098,0.003164,0.057983,0.000065,1.040726,0.002364,452.264764,2.177603,-0.000001,0.000001,0.252064,0.001232,48.372772,0.523023,0.332488,0.000755,-143.854797,0.390435,-62.967221,0.404672
0.312500,133.796912,18048.033302,0.046489,-0.922461,0.000581,0.049299,0.002346,0.057000,0.000072,1.012887,0.002692,433.193064,2.371579,-0.000000,0.000001,0.252250,0.000947,48.520412,0.413004,0.315512,0.000839,-141.559533,0.432119,-63.116253,0.398612
0.304878,130.235591,17103.227281,0.037236,-0.918644,0.000477,0.045629,0.001794,0.056048,0.000113,0.987385,0.003197,417.369842,2.098668,-0.000000,0.000001,0.251818,0.000761,48.220310,0.310492,0.300074,0.000971,-139.900105,0.314404,-62.829782,0.379720
0.297619,126.862234,16231.933190,0.035151,-0.915067,0.000461,0.043138,0.001588,0.055111,0.000064,0.961563,0.002018,399.918260,1.819791,-0.000000,0.000001,0.252133,0.001045,48.312532,0.471048,0.285276,0.000599,-137.634123,0.377486,-62.870361,0.392922
0.290698,123.666505,15428.090937,0.038188,-0.911769,0.000513,0.043041,0.002018,0.054172,0.000128,0.936508,0.003701,384.187883,2.717088,0.000001,0.000001,0.251478,0.000786,48.147333,0.456948,0.271387,0.001072,-135.743370,0.477664,-62.817909,0.425459
0.284091,120.601452,14675.809844,0.026230,-0.908270,0.000361,0.041006,0.002304,0.053364,0.000085,0.915670,0.002411,371.050210,1.915636,0.000001,0.000002,0.251485,0.001245,48.198757,0.474314,0.259324,0.000683,-134.073514,0.408438,-62.884210,0.370228
0.277778,117.714344,13984.730926,0.043749,-0.905358,0.000615,0.040421,0.003121,0.052543,0.000165,0.894166,0.004346,357.712154,2.918617,-0.000001,0.000001,0.251623,0.001108,48.105505,0.526425,0.247613,0.001202,-132.348341,0.481206,-62.725441,0.481035
0.271739,114.935914,13334.849994,0.037776,-0.902204,0.000543,0.037689,0.002372,0.051623,0.000119,0.870762,0.003029,343.823621,2.072513,0.000000,0.000001,0.251222,0.000961,48.004498,0.244303,0.235896,0.000820,-130.616973,0.398998,-62.694568,0.213005
0.265957,112.302709,12733.403333,0.031119,-0.899446,0.000457,0.035942,0.002282,0.050889,0.000068,0.853472,0.002041,333.537755,2.020765,-0.000000,0.000001,0.251922,0.001069,48.345821,0.430658,0.226299,0.000541,-129.266046,0.537821,-62.968238,0.331975
0.260417,109.752198,12164.021406,0.015754,-0.896283,0.000236,0.034078,0.001876,0.050068,0.000072,0.832953,0.002024,321.504629,1.567540,0.000000,0.000001,0.251838,0.001071,48.205925,0.424335,0.216262,0.000525,-127.659971,0.359364,-62.804768,0.386081
0.255102,107.344840,11638.557586,0.031259,-0.893718,0.000479,0.032411,0.001973,0.049314,0.000104,0.814918,0.002289,310.940880,1.677694,-0.000000,0.000001,0.250957,0.001329,47.931227,0.610169,0.207267,0.000582,-126.186366,0.434791,-62.662245,0.487904
