beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,4314.923017,18622883.338303,0.437808,-0.973413,0.000137,0.029613,0.091871,-0.000012,0.000057,0.010159,0.000136,0.079489,0.002527,0.000000,0.000000,6.866057,0.070193,47456.129116,1080.586608,0.126993,0.001700,-1.607451,0.050090,-2302.628795,31.036568
6.250000,2156.465187,4652498.589433,0.299143,-0.972791,0.000187,-0.000266,0.075979,0.000023,0.000075,0.020322,0.000244,0.315712,0.007088,0.000000,0.000001,3.541000,0.043644,12456.022174,330.903837,0.127014,0.001528,-4.177856,0.061477,-1171.361720,17.310896
4.166667,1435.077915,2060902.663861,0.255831,-0.970386,0.000240,0.073822,0.032198,0.000061,0.000131,0.030570,0.000347,0.718452,0.020150,-0.000000,0.000001,2.444114,0.022314,5852.928973,119.513870,0.127375,0.001446,-6.832697,0.140646,-797.167216,10.242559
3.125000,1070.209495,1146459.519117,0.200882,-0.962762,0.000251,0.159789,0.033166,-0.000015,0.000107,0.041323,0.000595,1.306038,0.038892,-0.000000,0.000001,1.842296,0.024652,3266.860966,90.898633,0.129134,0.001859,-9.533297,0.189852,-589.979103,9.273409
2.500000,842.704912,711097.913838,0.147949,-0.941726,0.000231,0.404759,0.026835,0.000099,0.000103,0.052663,0.000675,2.146673,0.052654,0.000000,0.000001,1.418949,0.010873,1895.186312,32.101391,0.131657,0.001688,-12.585904,0.194940,-444.184552,4.798067
2.083333,678.836393,461663.528351,0.241299,-0.897818,0.000452,0.647599,0.015676,-0.000047,0.000217,0.065219,0.000772,3.263984,0.078838,-0.000000,0.000002,1.050613,0.009097,1002.148352,18.305062,0.135873,0.001607,-15.680056,0.235697,-316.933285,3.333258
1.785714,559.007252,313198.949210,0.210153,-0.847828,0.000460,0.589023,0.019135,0.000059,0.000155,0.078237,0.000552,4.698538,0.071281,0.000000,0.000001,0.782997,0.007170,534.809576,11.760347,0.139710,0.000986,-19.017310,0.181200,-226.651111,3.061178
1.562500,471.868839,223260.127779,0.200609,-0.804672,0.000502,0.500068,0.016079,-0.000034,0.000096,0.090874,0.000602,6.358848,0.080504,0.000000,0.000001,0.623534,0.004164,327.550605,4.305446,0.141991,0.000940,-22.323940,0.166774,-174.097236,1.198262
1.388889,406.226484,165537.401598,0.186117,-0.767512,0.000523,0.434313,0.017760,-0.000029,0.000123,0.101700,0.000539,7.946965,0.077340,-0.000000,0.000001,0.521230,0.003731,223.243119,3.532550,0.141250,0.000748,-25.046691,0.146095,-141.758425,1.284797
1.250000,355.180708,126605.513066,0.084947,-0.734940,0.000265,0.378866,0.008377,0.000000,0.000110,0.112161,0.000676,9.659552,0.118537,0.000000,0.000001,0.454899,0.002038,166.478250,1.569250,0.140202,0.000845,-27.706237,0.185510,-120.986515,0.639590
1.136364,314.663597,99413.749379,0.151216,-0.706656,0.000520,0.335483,0.008013,-0.000026,0.000114,0.121395,0.000776,11.324595,0.167269,-0.000000,0.000001,0.408816,0.002303,133.214142,1.496554,0.137949,0.000881,-30.094171,0.267812,-107.614990,0.714655
1.041667,281.796610,79764.981414,0.102726,-0.681737,0.000385,0.288456,0.008525,0.000032,0.000173,0.129030,0.000588,12.778536,0.134026,0.000000,0.000001,0.377678,0.001672,112.401099,0.874574,0.134406,0.000613,-32.011064,0.230054,-98.202301,0.389931
0.961538,254.722374,65203.387576,0.094083,-0.659810,0.000382,0.254565,0.007589,0.000025,0.000080,0.136769,0.001066,14.370755,0.213446,0.000000,0.000001,0.351585,0.002037,96.505464,1.175547,0.131509,0.001025,-34.022574,0.268940,-90.492263,0.606334
0.892857,232.195489,54204.541261,0.097546,-0.640855,0.000427,0.224965,0.006689,-0.000037,0.000095,0.143471,0.000553,15.820946,0.169798,-0.000000,0.000001,0.334418,0.001335,87.007674,1.058523,0.128099,0.000494,-35.756701,0.266077,-85.723104,0.766010
0.833333,213.010402,45637.684350,0.077670,-0.623486,0.000364,0.200143,0.003461,-0.000037,0.000125,0.149724,0.000916,17.202447,0.264593,0.000001,0.000001,0.321367,0.001200,80.116468,0.744371,0.124770,0.000763,-37.296191,0.386042,-82.098176,0.495989
0.781250,196.677103,38923.976223,0.087967,-0.608386,0.000440,0.177377,0.004860,-0.000022,0.000115,0.155073,0.000783,18.427752,0.226062,-0.000000,0.000001,0.310700,0.001141,74.532481,0.659997,0.121150,0.000611,-38.609803,0.318189,-78.960485,0.450287
