beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
12.500000,3356.314954,11268212.077818,0.852057,-0.798848,0.000266,0.019400,0.155171,0.000030,0.000141,0.016689,0.000196,0.214223,0.006702,0.000000,0.000000,7.050020,0.082918,50053.139491,1470.440210,0.208609,0.002446,-3.278174,0.100222,-2365.117517,43.617981
6.250000,1676.712052,2813042.884330,0.358602,-0.797945,0.000224,0.010697,0.080471,-0.000059,0.000148,0.033516,0.000388,0.869656,0.018649,0.000001,0.000001,3.633583,0.022001,13098.909060,209.608294,0.209476,0.002423,-7.648386,0.109766,-1200.609124,14.582279
4.166667,1114.150915,1242465.995967,0.318790,-0.794516,0.000299,0.076102,0.045494,0.000040,0.000143,0.050887,0.000758,1.984599,0.064735,0.000000,0.000002,2.508683,0.020138,6131.927246,134.916464,0.212030,0.003157,-11.996804,0.251299,-813.677314,12.002419
3.125000,828.164175,686724.022653,0.232680,-0.785205,0.000291,0.155873,0.035693,0.000042,0.000202,0.067986,0.000530,3.555733,0.057734,-0.000000,0.000001,1.914944,0.018028,3525.146265,84.271653,0.212456,0.001655,-16.433040,0.199461,-612.548424,9.704360
2.500000,647.442779,419938.632531,0.279702,-0.761629,0.000437,0.425623,0.035073,0.000012,0.000122,0.087294,0.000549,5.870916,0.093461,0.000001,0.000001,1.459546,0.012249,1995.977530,38.117157,0.218235,0.001371,-21.417207,0.257750,-454.806415,5.167418
2.083333,513.914517,264809.337703,0.345528,-0.713590,0.000648,0.731145,0.029198,-0.000144,0.000165,0.109763,0.000915,9.295947,0.163301,-0.000001,0.000001,1.082337,0.014919,1063.032799,34.736303,0.228672,0.001907,-27.228474,0.282269,-326.303950,6.290994
1.785714,415.444919,173166.250137,0.198510,-0.658786,0.000434,0.610489,0.025689,0.000075,0.000142,0.131628,0.000918,13.264512,0.208409,0.000000,0.000001,0.799870,0.005204,555.574976,8.482013,0.235051,0.001639,-32.589447,0.362912,-230.514404,2.083456
1.562500,346.063099,120233.329693,0.228782,-0.615158,0.000572,0.498226,0.016022,0.000035,0.000184,0.150289,0.000859,17.373522,0.254807,0.000001,0.000001,0.632855,0.004592,334.322327,6.407168,0.234826,0.001342,-37.531889,0.364553,-175.078948,2.267263
1.388889,294.938313,87387.258807,0.168193,-0.579514,0.000473,0.405015,0.011728,-0.000032,0.000187,0.164481,0.001061,20.762707,0.260667,0.000000,0.000001,0.530664,0.003228,229.912296,2.758145,0.228445,0.001473,-41.076187,0.334856,-143.413438,0.980239
1.250000,255.988672,65872.830582,0.159976,-0.549965,0.000500,0.338344,0.013078,-0.000091,0.000150,0.177129,0.000946,24.049402,0.309561,-0.000001,0.000002,0.462610,0.002449,171.551941,2.155528,0.221411,0.001183,-44.256442,0.395337,-122.607054,0.940518
1.136364,225.378910,51094.364578,0.129786,-0.524740,0.000446,0.286390,0.008732,0.000020,0.000117,0.186420,0.000723,26.717975,0.337848,0.000000,0.000001,0.416693,0.002214,137.090749,1.442248,0.211841,0.000821,-46.772238,0.438296,-108.662944,0.617364
1.041667,200.942863,40642.621237,0.146521,-0.503536,0.000549,0.248526,0.006906,-0.000049,0.000111,0.194828,0.001241,29.006370,0.420852,-0.000000,0.000001,0.383107,0.002346,114.982641,1.384313,0.202946,0.001293,-48.625120,0.454859,-99.040466,0.618085
0.961538,180.918257,32967.431777,0.113490,-0.484980,0.000461,0.215175,0.004816,0.000052,0.000156,0.202172,0.000681,31.314505,0.206098,0.000001,0.000002,0.359354,0.001289,100.430859,0.868357,0.194396,0.000655,-50.630011,0.255808,-92.157408,0.563579
0.892857,164.344626,27221.423560,0.128663,-0.469008,0.000563,0.187134,0.004706,0.000053,0.000155,0.207983,0.000771,33.132104,0.377553,0.000000,0.000001,0.340713,0.002580,89.988635,1.420801,0.185699,0.000688,-52.099312,0.427531,-87.034203,0.755116
0.833333,150.344684,22794.995674,0.112814,-0.454741,0.000529,0.160603,0.003589,-0.000009,0.000107,0.211953,0.000759,34.490763,0.268073,-0.000001,0.000001,0.327337,0.001759,82.530415,0.859635,0.176628,0.000633,-53.242304,0.297821,-83.040203,0.474223
0.781250,138.508579,19360.339695,0.104884,-0.442543,0.000524,0.145288,0.003736,0.000034,0.000133,0.216592,0.001049,36.011495,0.307976,0.000000,0.000001,0.316939,0.001299,77.179333,0.645740,0.169213,0.000820,-54.420542,0.264819,-80.170304,0.381047
